id_orden;linea_orden;fecha_orden;id_cliente;id_vendedor;id_producto;cantidad
1;1;27/01/2004;7888;96;9117;1
1;2;27/01/2004;7888;79;3353;3
1;3;27/01/2004;7888;57;2778;2
1;4;27/01/2004;7888;80;4774;2
1;5;27/01/2004;7888;67;3648;2
1;6;27/01/2004;7888;88;9523;3
1;7;27/01/2004;7888;18;6358;3
1;8;27/01/2004;7888;68;1417;2
2;1;1/01/2004;4858;68;1567;2
2;2;1/01/2004;4858;46;1298;1
2;3;1/01/2004;4858;6;9990;1
2;4;1/01/2004;4858;31;5130;3
2;5;1/01/2004;4858;77;6127;1
2;6;1/01/2004;4858;3;6376;2
2;7;1/01/2004;4858;52;4936;3
2;8;1/01/2004;4858;71;2926;3
3;1;17/01/2004;15399;47;2834;2
3;2;17/01/2004;15399;22;8078;3
3;3;17/01/2004;15399;28;698;3
3;4;17/01/2004;15399;68;5260;1
3;5;17/01/2004;15399;42;1923;2
3;6;17/01/2004;15399;16;8903;2
3;7;17/01/2004;15399;50;642;1
3;8;17/01/2004;15399;98;4578;1
3;9;17/01/2004;15399;6;2383;3
4;1;28/01/2004;17019;94;3753;3
4;2;28/01/2004;17019;61;5126;3
4;3;28/01/2004;17019;92;5317;1
4;4;28/01/2004;17019;81;4377;3
4;5;28/01/2004;17019;85;9309;3
5;1;9/01/2004;14771;32;6879;1
5;2;9/01/2004;14771;84;4402;3
5;3;9/01/2004;14771;17;8293;1
5;4;9/01/2004;14771;96;2290;3
6;1;11/01/2004;13734;59;6574;3
6;2;11/01/2004;13734;7;4396;3
6;3;11/01/2004;13734;20;3985;3
6;4;11/01/2004;13734;20;6843;3
6;5;11/01/2004;13734;36;4825;1
6;6;11/01/2004;13734;62;9503;3
7;1;5/01/2004;17622;75;6196;1
7;2;5/01/2004;17622;35;7861;1
7;3;5/01/2004;17622;22;4471;1
7;4;5/01/2004;17622;50;1876;1
8;1;18/01/2004;8331;38;1032;1
8;2;18/01/2004;8331;36;4955;3
8;3;18/01/2004;8331;59;9848;3
8;4;18/01/2004;8331;4;6845;2
8;5;18/01/2004;8331;11;7498;2
8;6;18/01/2004;8331;20;2942;1
8;7;18/01/2004;8331;64;5845;1
8;8;18/01/2004;8331;56;1524;3
8;9;18/01/2004;8331;47;1255;3
9;1;6/01/2004;14902;13;526;2
9;2;6/01/2004;14902;77;1763;1
9;3;6/01/2004;14902;47;7978;3
9;4;6/01/2004;14902;96;6566;3
9;5;6/01/2004;14902;18;6395;3
9;6;6/01/2004;14902;50;935;1
9;7;6/01/2004;14902;11;5203;1
9;8;6/01/2004;14902;47;700;1
9;9;6/01/2004;14902;38;4615;3
10;1;18/01/2004;15112;3;10000;1
10;2;18/01/2004;15112;76;8900;1
11;1;31/01/2004;1082;62;42;3
12;1;19/01/2004;3608;60;9131;3
12;2;19/01/2004;3608;80;3591;2
12;3;19/01/2004;3608;32;5795;2
12;4;19/01/2004;3608;44;6874;1
13;1;17/01/2004;15146;95;5770;3
13;2;17/01/2004;15146;26;7479;2
13;3;17/01/2004;15146;79;355;3
13;4;17/01/2004;15146;25;8333;3
13;5;17/01/2004;15146;31;8733;3
13;6;17/01/2004;15146;40;9795;3
13;7;17/01/2004;15146;93;9034;3
13;8;17/01/2004;15146;48;6669;2
13;9;17/01/2004;15146;97;1640;3
14;1;28/01/2004;1540;96;6295;1
14;2;28/01/2004;1540;13;7007;1
14;3;28/01/2004;1540;62;3288;1
15;1;3/01/2004;12662;33;5107;3
15;2;3/01/2004;12662;70;2801;2
15;3;3/01/2004;12662;77;7193;1
15;4;3/01/2004;12662;48;4715;2
15;5;3/01/2004;12662;24;9444;2
15;6;3/01/2004;12662;11;3364;3
16;1;14/01/2004;65;20;8333;1
16;2;14/01/2004;65;53;6755;2
16;3;14/01/2004;65;90;4820;1
16;4;14/01/2004;65;40;7121;1
16;5;14/01/2004;65;32;6219;1
16;6;14/01/2004;65;9;4140;3
17;1;21/01/2004;12753;13;6092;2
17;2;21/01/2004;12753;30;7308;1
18;1;23/01/2004;4045;21;6532;1
18;2;23/01/2004;4045;46;5325;1
18;3;23/01/2004;4045;24;2605;3
18;4;23/01/2004;4045;27;6862;1
18;5;23/01/2004;4045;48;1113;2
18;6;23/01/2004;4045;65;5767;2
18;7;23/01/2004;4045;70;6666;1
19;1;25/01/2004;5768;26;9844;1
19;2;25/01/2004;5768;64;8274;1
20;1;6/01/2004;8730;38;7649;3
20;2;6/01/2004;8730;52;1212;3
20;3;6/01/2004;8730;87;3839;3
20;4;6/01/2004;8730;37;9431;3
20;5;6/01/2004;8730;52;8620;1
20;6;6/01/2004;8730;92;7937;2
20;7;6/01/2004;8730;49;2973;3
20;8;6/01/2004;8730;35;9097;3
20;9;6/01/2004;8730;74;4982;2
21;1;6/01/2004;5479;79;4637;3
21;2;6/01/2004;5479;48;4960;1
21;3;6/01/2004;5479;64;1805;3
21;4;6/01/2004;5479;83;7276;1
21;5;6/01/2004;5479;25;6032;2
22;1;26/01/2004;14486;37;4986;1
22;2;26/01/2004;14486;72;1383;2
23;1;11/01/2004;18638;56;8369;3
23;2;11/01/2004;18638;14;4961;2
23;3;11/01/2004;18638;87;3944;2
23;4;11/01/2004;18638;32;6089;1
23;5;11/01/2004;18638;59;1513;1
23;6;11/01/2004;18638;73;1079;2
24;1;12/01/2004;5766;27;4274;3
25;1;19/01/2004;5310;94;4875;1
25;2;19/01/2004;5310;28;8831;2
25;3;19/01/2004;5310;62;5178;1
25;4;19/01/2004;5310;77;5576;2
25;5;19/01/2004;5310;4;8300;2
25;6;19/01/2004;5310;38;2444;1
25;7;19/01/2004;5310;55;7294;2
26;1;31/01/2004;6765;100;4108;1
26;2;31/01/2004;6765;44;7833;3
27;1;10/01/2004;2294;83;492;2
27;2;10/01/2004;2294;99;9865;3
27;3;10/01/2004;2294;29;2109;2
27;4;10/01/2004;2294;100;8652;1
27;5;10/01/2004;2294;62;996;2
27;6;10/01/2004;2294;77;3018;2
27;7;10/01/2004;2294;85;8091;1
28;1;2/01/2004;1069;82;6921;2
28;2;2/01/2004;1069;24;1192;2
28;3;2/01/2004;1069;75;5787;2
28;4;2/01/2004;1069;42;5951;2
28;5;2/01/2004;1069;32;3043;3
28;6;2/01/2004;1069;14;4766;1
28;7;2/01/2004;1069;95;6098;2
28;8;2/01/2004;1069;74;6190;2
29;1;8/01/2004;16597;98;9238;1
30;1;15/01/2004;4510;21;3572;3
30;2;15/01/2004;4510;46;3443;3
30;3;15/01/2004;4510;85;6592;1
31;1;8/01/2004;15566;9;3082;1
31;2;8/01/2004;15566;13;1981;2
31;3;8/01/2004;15566;95;1098;3
31;4;8/01/2004;15566;21;7823;3
31;5;8/01/2004;15566;12;2004;2
31;6;8/01/2004;15566;11;3157;2
31;7;8/01/2004;15566;78;2310;2
31;8;8/01/2004;15566;31;5329;1
32;1;18/01/2004;292;93;3055;3
32;2;18/01/2004;292;19;2605;2
32;3;18/01/2004;292;48;5524;3
32;4;18/01/2004;292;78;6860;3
33;1;22/01/2004;6240;29;5330;3
34;1;20/01/2004;12854;54;3622;3
34;2;20/01/2004;12854;45;8019;3
34;3;20/01/2004;12854;30;1529;1
34;4;20/01/2004;12854;71;636;3
35;1;6/01/2004;12380;9;12;1
35;2;6/01/2004;12380;72;3053;1
35;3;6/01/2004;12380;28;6554;3
35;4;6/01/2004;12380;39;1812;2
35;5;6/01/2004;12380;90;6674;3
35;6;6/01/2004;12380;59;6534;1
36;1;28/01/2004;3726;92;8290;3
36;2;28/01/2004;3726;4;9042;1
36;3;28/01/2004;3726;86;3946;3
36;4;28/01/2004;3726;23;8690;2
36;5;28/01/2004;3726;36;7390;3
37;1;8/01/2004;18532;55;4945;2
37;2;8/01/2004;18532;98;9392;3
37;3;8/01/2004;18532;90;8142;2
37;4;8/01/2004;18532;17;6573;3
37;5;8/01/2004;18532;94;9359;1
37;6;8/01/2004;18532;82;8744;2
37;7;8/01/2004;18532;62;6378;3
37;8;8/01/2004;18532;37;7755;3
37;9;8/01/2004;18532;18;2628;2
38;1;15/01/2004;3340;99;8731;2
38;2;15/01/2004;3340;39;4125;2
38;3;15/01/2004;3340;40;5969;2
38;4;15/01/2004;3340;29;5386;1
38;5;15/01/2004;3340;68;5791;1
38;6;15/01/2004;3340;25;7010;2
38;7;15/01/2004;3340;100;8327;2
38;8;15/01/2004;3340;76;1127;2
39;1;16/01/2004;970;55;6377;2
39;2;16/01/2004;970;43;1440;2
39;3;16/01/2004;970;51;2471;2
39;4;16/01/2004;970;7;175;3
40;1;18/01/2004;16259;5;4774;3
40;2;18/01/2004;16259;47;588;1
40;3;18/01/2004;16259;15;6408;2
40;4;18/01/2004;16259;49;2227;1
40;5;18/01/2004;16259;28;6303;3
41;1;23/01/2004;9258;28;9527;3
41;2;23/01/2004;9258;6;8991;3
41;3;23/01/2004;9258;33;3336;2
41;4;23/01/2004;9258;45;2192;2
41;5;23/01/2004;9258;93;9499;2
41;6;23/01/2004;9258;36;8844;3
41;7;23/01/2004;9258;94;1838;2
41;8;23/01/2004;9258;14;7803;3
42;1;29/01/2004;5152;29;3319;2
42;2;29/01/2004;5152;75;5608;2
42;3;29/01/2004;5152;64;6222;1
42;4;29/01/2004;5152;73;4780;2
42;5;29/01/2004;5152;58;6539;3
42;6;29/01/2004;5152;86;2107;2
42;7;29/01/2004;5152;77;8655;1
42;8;29/01/2004;5152;64;3736;1
42;9;29/01/2004;5152;44;6466;2
43;1;21/01/2004;11927;75;5637;1
43;2;21/01/2004;11927;27;190;2
43;3;21/01/2004;11927;48;91;3
43;4;21/01/2004;11927;35;6015;3
43;5;21/01/2004;11927;34;8872;3
43;6;21/01/2004;11927;90;1731;2
44;1;16/01/2004;15905;48;1554;1
44;2;16/01/2004;15905;100;8823;2
44;3;16/01/2004;15905;52;8995;3
44;4;16/01/2004;15905;77;4759;1
44;5;16/01/2004;15905;44;9467;1
44;6;16/01/2004;15905;34;8657;2
44;7;16/01/2004;15905;79;7187;3
44;8;16/01/2004;15905;33;1841;1
44;9;16/01/2004;15905;88;1672;1
45;1;20/01/2004;3525;66;9470;1
45;2;20/01/2004;3525;80;1609;1
45;3;20/01/2004;3525;68;4619;2
46;1;29/01/2004;2018;73;3938;2
47;1;14/01/2004;5864;9;5662;1
47;2;14/01/2004;5864;70;348;2
47;3;14/01/2004;5864;35;8140;3
47;4;14/01/2004;5864;97;3564;3
47;5;14/01/2004;5864;50;357;2
47;6;14/01/2004;5864;2;2010;2
47;7;14/01/2004;5864;14;6998;1
47;8;14/01/2004;5864;62;8894;2
47;9;14/01/2004;5864;7;3415;1
48;1;24/01/2004;16067;4;9042;1
48;2;24/01/2004;16067;37;7525;1
48;3;24/01/2004;16067;63;8094;1
48;4;24/01/2004;16067;5;5912;1
48;5;24/01/2004;16067;68;1015;1
48;6;24/01/2004;16067;64;2442;1
48;7;24/01/2004;16067;51;5892;1
49;1;28/01/2004;18911;61;4691;1
49;2;28/01/2004;18911;8;5871;1
49;3;28/01/2004;18911;92;5846;2
49;4;28/01/2004;18911;31;8156;3
49;5;28/01/2004;18911;61;5266;2
49;6;28/01/2004;18911;38;7294;1
49;7;28/01/2004;18911;77;2642;2
