id_producto;Nombre;Precio;id_categoria
1;ACADEMY ACADEMY;25.99;14
2;ACADEMY ACE;20.99;6
3;ACADEMY ADAPTATION;28.99;6
4;ACADEMY AFFAIR;14.99;3
5;ACADEMY AFRICAN;11.99;3
6;ACADEMY AGENT;15.99;9
7;ACADEMY AIRPLANE;25.99;8
8;ACADEMY AIRPORT;16.99;7
9;ACADEMY ALABAMA;10.99;2
10;ACADEMY ALADDIN;9.99;15
11;ACADEMY ALAMO;26.99;4
12;ACADEMY ALASKA;23.99;7
13;ACADEMY ALI;24.99;8
14;ACADEMY ALICE;12.99;11
15;ACADEMY ALIEN;27.99;14
16;ACADEMY ALLEY;27.99;16
17;ACADEMY ALONE;28.99;7
18;ACADEMY ALTER;27.99;16
19;ACADEMY AMADEUS;15.99;10
20;ACADEMY AMELIE;17.99;4
21;ACADEMY AMERICAN;24.99;2
22;ACADEMY AMISTAD;16.99;11
23;ACADEMY ANACONDA;24.99;10
24;ACADEMY ANALYZE;28.99;3
25;ACADEMY ANGELS;24.99;3
26;ACADEMY ANNIE;11.99;11
27;ACADEMY ANONYMOUS;26.99;2
28;ACADEMY ANTHEM;13.99;1
29;ACADEMY ANTITRUST;10.99;16
30;ACADEMY ANYTHING;17.99;10
31;ACADEMY APACHE;18.99;6
32;ACADEMY APOCALYPSE;29.99;9
33;ACADEMY APOLLO;24.99;12
34;ACADEMY ARABIA;24.99;14
35;ACADEMY ARACHNOPHOBIA;26.99;11
36;ACADEMY ARGONAUTS;13.99;11
37;ACADEMY ARIZONA;22.99;6
38;ACADEMY ARK;20.99;9
39;ACADEMY ARMAGEDDON;18.99;8
40;ACADEMY ARMY;21.99;7
41;ACADEMY ARSENIC;15.99;11
42;ACADEMY ARTIST;23.99;10
43;ACADEMY ATLANTIS;22.99;6
44;ACADEMY ATTACKS;23.99;12
45;ACADEMY ATTRACTION;27.99;9
46;ACADEMY AUTUMN;21.99;2
47;ACADEMY BABY;12.99;13
48;ACADEMY BACKLASH;18.99;14
49;ACADEMY BADMAN;23.99;13
50;ACADEMY BAKED;13.99;16
51;ACADEMY BALLOON;27.99;5
52;ACADEMY BALLROOM;19.99;3
53;ACADEMY BANG;23.99;8
54;ACADEMY BANGER;24.99;10
55;ACADEMY BARBARELLA;16.99;8
56;ACADEMY BAREFOOT;26.99;15
57;ACADEMY BASIC;14.99;7
58;ACADEMY BEACH;15.99;2
59;ACADEMY BEAR;14.99;7
60;ACADEMY BEAST;22.99;8
61;ACADEMY BEAUTY;17.99;9
62;ACADEMY BED;16.99;12
63;ACADEMY BEDAZZLED;25.99;7
64;ACADEMY BEETHOVEN;18.99;14
65;ACADEMY BEHAVIOR;10.99;4
66;ACADEMY BENEATH;11.99;5
67;ACADEMY BERETS;18.99;8
